algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
crc32_prefix,hidden_incremental,continuous,16,11,5.681818181818182,4.415909090909091,6.947727272727272,0.0,100.0,100.0,100.0,160000000.0,71.125,0.0,0.0,0.0,4,16,0,1,,,
crc32_prefix,hidden_incremental,continuous,64,11,4.2615454545454545,3.3121473675325293,5.21094354155838,0.0,100.0,100.0,100.0,213333333.333,29.641,0.0,0.0,0.0,4,64,0,1,,,
crc32_prefix,hidden_incremental,continuous,256,11,4.048090909090909,3.731512363636364,4.364669454545455,0.0,100.0,100.0,6400.0,256000000.0,19.262,0.03551136363636364,0.0,0.0,4,256,0,1,,,
crc32_prefix,hidden_incremental,continuous,1024,11,3.879545454545455,3.8491085938600382,3.9099823152308715,0.0,100.0,100.0,100.0,256000000.0,15.928,0.0,0.0,0.0,4,1024,0,1,,,
crc32_prefix,hidden_incremental,continuous,4096,11,4.030454545454545,3.611996548113287,4.448912542795803,0.0,100.0,100.0,500.0,260891719.745,14.909,0.0,0.0,0.0,4,4096,0,1,,,
pid_controller,explicit_state,continuous,1,11,3.528727272727273,3.1857458879931033,3.871708657461443,0.0,100.0,100.0,16700.0,300030003.0,12.71,0.004454545454545455,0.0005454545454545455,0.0,24,0,0,16,hidden_state,0.975962989037514,-2.4037010962486005
pid_controller,hidden_state,continuous,1,11,3.6156363636363635,3.2242628494181376,4.00700987785459,0.0,100.0,100.0,28600.0,296033155.713,12.817,0.004909090909090909,0.0005454545454545455,0.0,24,0,0,16,,,
rolling_max,explicit_incremental,continuous,4,11,9.240181818181817,8.609486084585145,9.87087755177849,0.0,100.0,100.0,17100.0,113481615.978,33.367,0.002181818181818182,0.0001818181818181818,0.0,96,0,0,8,hidden_incremental,0.795457747030005,-20.454225296999496
rolling_max,explicit_incremental,continuous,16,11,10.822909090909091,10.080425932227723,11.56539224959046,0.0,100.0,100.0,17600.0,95283468.318,39.754,0.002909090909090909,0.00027272727272727274,0.0,240,0,0,8,hidden_incremental,0.8704540469401183,-12.954595305988171
rolling_max,explicit_incremental,continuous,64,11,10.265272727272729,10.002402871974946,10.528142582570512,0.0,100.0,100.0,26800.0,98619329.389,38.393,0.0041818181818181815,0.0006363636363636364,0.0,816,0,0,8,hidden_incremental,0.836733332839327,-16.326666716067294
rolling_max,explicit_incremental,continuous,256,11,12.283727272727274,9.753996093101858,14.813458452352691,0.0,100.0,100.0,1978800.0,94259590.913,40.289,0.009,0.0025454545454545456,0.0005454545454545455,3120,0,0,8,hidden_incremental,0.9166898460661733,-8.331015393382668
rolling_max,explicit_incremental,continuous,1024,11,11.274909090909091,10.079065732004587,12.470752449813595,0.0,100.0,100.0,30100.0,95492742.552,39.489,0.004818181818181818,0.0008181818181818182,0.0,12336,0,0,8,hidden_incremental,0.8382208825298558,-16.177911747014416
rolling_max,explicit_incremental,continuous,4096,11,10.135636363636364,9.615287732431375,10.655984994841353,0.0,100.0,100.0,78900.0,100897992.13,37.608,0.0014545454545454545,0.0003636363636363636,0.0,49200,0,0,8,hidden_incremental,0.8296214719954758,-17.037852800452423
rolling_max,full_recompute,continuous,4,11,3.5561818181818183,3.4306670621756052,3.6816965741880314,0.0,100.0,100.0,15200.0,290360046.458,13.082,0.0014545454545454545,9.09090909090909e-05,0.0,0,16,0,16,explicit_incremental,0.38486058912654225,-61.51394108734578
rolling_max,full_recompute,continuous,16,11,10.183454545454545,9.961986136463143,10.404922954445947,0.0,100.0,100.0,934500.0,99058940.069,38.241,0.007818181818181818,0.0006363636363636364,0.0001818181818181818,0,64,0,64,explicit_incremental,0.9409165742700668,-5.90834257299332
rolling_max,full_recompute,continuous,64,11,12.348272727272727,12.268921063600498,12.427624390944956,0.0,100.0,100.0,27600.0,80860354.168,46.654,0.004272727272727273,0.00027272727272727274,0.0,0,256,0,256,explicit_incremental,1.2029171611257725,20.29171611257725
rolling_max,full_recompute,continuous,256,11,36.67272727272727,29.74031696822588,43.60513757722867,100.0,100.0,100.0,969800.0,32069783.85,118.171,0.02081818181818182,0.006909090909090909,0.001090909090909091,0,1024,0,1024,explicit_incremental,2.9854722804005296,198.54722804005297
rolling_max,full_recompute,continuous,1024,11,128.50618181818183,107.46045808689067,149.551905549473,100.0,200.0,200.0,3592900.0,8628351.036,437.921,0.02781818181818182,0.006909090909090909,0.0003636363636363636,0,4096,0,4096,explicit_incremental,11.397535960781784,1039.7535960781784
rolling_max,full_recompute,continuous,4096,11,471.4367272727273,450.1670832990005,492.70637124645407,500.0,600.0,700.0,33800.0,2198812.202,1721.586,0.0870909090909091,0.009818181818181818,0.0,0,16384,0,16384,explicit_incremental,46.512790155347474,4551.2790155347475
rolling_max,hidden_incremental,continuous,4,11,11.616181818181818,11.505897427025676,11.72646620933796,0.0,100.0,100.0,22100.0,86670133.472,43.684,0.0022727272727272726,9.09090909090909e-05,0.0,96,0,0,8,,,
