algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetition,samples,changed_entities,arithmetic_per_tick,recomputed_entities,mean_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us,miss_1ms,miss_16_67ms,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum
derived_vectors,change_density,stateless_full,tick_only,64,0,16,10,2001,0,6144,64,689.355,700,700,800,23500,1450630.709,2678.984,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,tick_only,64,0,16,10,2001,0,0,0,24.288,0,100,100,100,41172839.506,196.758,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,10,2001,0,0,0,123.638,100,200,200,300,8088116.411,573.025,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,11,2001,0,6144,64,681.559,600,800,900,28500,1467223.933,2648.086,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,11,2001,0,0,0,26.737,0,100,100,6200,37401869.159,190.313,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,11,2001,0,0,0,82.109,100,100,100,500,12178940.962,403.942,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,tick_only,64,0,16,11,2001,0,6144,64,620.640,600,700,900,19300,1611240.841,2428.012,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,tick_only,64,0,16,11,2001,0,0,0,22.939,0,100,100,100,43594771.242,182.542,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,11,2001,0,0,0,80.610,100,100,100,200,12405455.673,401.288,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,1,16,1,2001,1,6144,64,600.600,600,600,800,11000,1665002.496,2375.127,0,0,0,1536,768,0,2304,3,18034119760241668988
derived_vectors,change_density,stateful_event,frame_total,64,1,16,1,2001,1,96,1,49.775,0,100,100,200,20090361.446,290.967,0,0,0,2304,0,28,2332,4,18034119760241668988
derived_vectors,change_density,tick_selective,frame_total,64,1,16,1,2001,1,96,1,158.221,200,200,300,500,6320277.953,744.383,0,0,0,2816,0,28,2844,3,18034119760241668988
derived_vectors,change_density,stateless_full,tick_only,64,1,16,1,2001,1,6144,64,696.502,700,700,900,24800,1435746.574,2757.649,0,0,0,1536,768,0,2304,3,18034119760241668988
