platform,compiler,build_flags,algorithm,variant,workload,parameter,repetition,iterations,timer_overhead_ns,mean_ns,median_ns,p95_ns,p99_ns,max_ns,throughput_updates_s,cpu_utilization_pct,cycles_per_update,deadline_1us_misses,deadline_10us_misses,deadline_100us_misses,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,checksum
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",16,2,12000,0,12.508,0,100,100,300,79946702.199,0.000,47.634,0,0,0,49184,0,0,8,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",16,2,12000,0,10.033,0,100,100,900,99667774.086,0.000,38.183,0,0,0,0,64,0,64,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",16,2,12000,0,5.450,0,100,100,600,183486238.532,0.000,20.798,0,0,0,168,128,0,8,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",16,3,12000,0,4.967,0,100,100,200,201342281.879,0.000,18.965,0,0,0,0,128,0,128,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",16,3,12000,0,10.192,0,100,100,200,98119378.577,0.000,38.783,0,0,0,49184,0,0,8,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",16,3,12000,0,10.767,0,100,100,200,92879256.966,0.000,40.964,0,0,0,49184,0,0,8,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",16,3,12000,0,10.033,0,100,100,200,99667774.086,0.000,38.151,0,0,0,0,64,0,64,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",16,3,12000,0,5.475,0,100,100,400,182648401.826,0.000,20.925,0,0,0,168,128,0,8,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",16,3,12000,0,5.417,0,100,100,300,184615384.615,0.000,20.735,0,0,0,168,128,0,8,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",16,4,12000,0,12.217,0,100,100,9200,81855388.813,0.000,46.528,1,0,0,49184,0,0,8,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",16,4,12000,0,11.942,0,100,100,800,83740404.745,0.000,45.516,0,0,0,49184,0,0,8,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",16,4,12000,0,10.033,0,100,100,8400,99667774.086,0.000,38.151,1,0,0,0,64,0,64,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",16,4,12000,0,5.442,0,100,100,200,183767228.178,0.000,20.735,0,0,0,168,128,0,8,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",16,4,12000,0,5.558,0,100,100,200,179910044.978,0.000,21.304,0,0,0,168,128,0,8,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",16,4,12000,0,4.592,0,100,100,200,217785843.920,0.000,17.637,0,0,0,0,128,0,128,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",16,5,12000,0,13.550,0,100,100,200,73800738.007,0.000,50.162,0,0,0,49184,0,0,8,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",16,5,12000,0,10.075,0,100,100,600,99255583.127,0.000,38.404,0,0,0,0,64,0,64,16875857350270652090
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",16,5,12000,0,5.558,0,100,100,35300,179910044.978,0.000,21.241,1,1,0,168,128,0,8,6045763259776721384
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",16,5,12000,0,6.833,0,100,100,500,146341463.415,0.000,22.948,0,0,0,168,128,0,8,6045763259776721384
