algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
game_tick_motion,hidden_stateful,entities_4096,16,11,24428.977,20409.513279662366,28448.440720337632,25600.0,36500.0,63800.0,308000.0,45393.693,82631.518,100.0,100.0,0.8522727272727273,98304,0,0,147456,,,
game_tick_motion,hidden_stateful,entities_4096,64,11,40415.734818181816,22280.578697710742,58550.89093865289,26400.0,70100.0,85200.0,378200.0,30831.784,116692.319,100.0,100.0,2.5568181818181817,98304,0,0,147456,,,
game_tick_motion,hidden_stateful,entities_64,1,11,304.9162727272727,201.13645070049222,408.6960947540532,200.0,200.0,300.0,3194400.0,3817026.994,634.845,0.14021818181818183,0.0608,0.010763636363636364,1536,0,0,2304,,,
game_tick_motion,hidden_stateful,entities_64,4,11,151.72745454545455,123.83095366394845,179.62395542696063,200.0,200.0,200.0,2131200.0,7320820.711,516.764,0.07562184424226912,0.04188286758033367,0.0063987714358843106,1536,0,0,2304,,,
game_tick_motion,hidden_stateful,entities_64,16,11,238.34954545454545,160.06123921839938,316.6378516906915,200.0,200.0,300.0,361700.0,4959122.033,571.751,0.09276437847866419,0.048701298701298704,0.00463821892393321,1536,0,0,2304,,,
game_tick_motion,hidden_stateful,entities_64,64,11,123.53990909090909,112.57914238483944,134.50067579697873,200.0,200.0,200.0,18600.0,8369499.022,449.402,0.053267045454545456,0.026633522727272728,0.0,1536,0,0,2304,,,
game_tick_motion,hidden_stateful,entities_64,256,11,196.93154545454544,174.5206412192073,219.34244968988358,200.0,200.0,300.0,30500.0,5183828.087,575.64,0.10653409090909091,0.10653409090909091,0.0,1536,0,0,2304,,,
game_tick_motion,stateless_replay,entities_1024,1,11,3702.4415454545456,2803.9336137437504,4600.949477165341,2500.0,3200.0,11700.0,8685200.0,290674.743,10060.481,100.0,1.205604431410883,0.20946795140343527,0,36864,24576,61440,explicit_stateful,0.9903280546452329,-0.967194535476712
game_tick_motion,stateless_replay,entities_1024,4,11,7042.281545454545,5142.998305615819,8941.56478529327,5400.0,9700.0,12900.0,2940500.0,153086.032,21744.848,100.0,4.163561847988078,0.2608047690014903,0,73728,24576,116736,explicit_stateful,2.526292931883773,152.6292931883773
game_tick_motion,stateless_replay,entities_1024,16,11,19743.829818181817,16139.154433091157,23348.505203272478,17700.0,35100.0,38700.0,1874100.0,57887.12,65367.021,100.0,70.06392045454545,1.0298295454545454,0,221184,24576,337920,explicit_stateful,6.953296066319669,595.3296066319668
game_tick_motion,stateless_replay,entities_1024,64,11,77224.38427272729,66605.03840499737,87843.7301404572,68300.0,124500.0,159500.0,6045100.0,12333.07,258765.531,100.0,93.03977272727273,24.431818181818183,0,811008,24576,1222656,explicit_stateful,32.826031177819644,3182.6031177819646
game_tick_motion,stateless_replay,entities_256,1,11,616.0746363636364,504.1303709193654,728.0189018079074,500.0,700.0,800.0,947800.0,1686795.549,2137.617,0.7610668900991482,0.11055252990736862,0.025601638504864313,0,9216,6144,15360,explicit_stateful,0.8703140083930949,-12.968599160690509
game_tick_motion,stateless_replay,entities_256,4,11,1711.3065454545454,1344.4134372816827,2078.199653627408,1300.0,2300.0,3000.0,10317900.0,656172.606,5086.095,63.631711175211684,0.5047920349865078,0.0767656090071648,0,18432,6144,29184,explicit_stateful,2.2571627890134076,125.71627890134076
